Date,Open,High,Low,Close,Volume,Adj Close
1993-12-01,33.85,34.28,33.85,34.28,21600,23.99
1993-11-30,34.49,34.49,33.63,33.85,40200,23.68
1993-11-29,35.36,35.79,34.06,34.06,92700,23.83
1993-11-26,31.91,34.28,31.91,34.28,85800,23.99
1993-11-24,31.47,32.12,31.26,31.91,27500,22.33
1993-11-23,31.26,31.47,30.61,31.47,13100,22.02
1993-11-22,30.61,31.26,30.61,30.61,12800,21.42
1993-11-19,31.47,31.47,31.15,31.26,15300,21.87
1993-11-18,31.07,31.71,30.85,30.85,40600,21.44
1993-11-17,31.28,31.71,30.85,31.71,3600,22.03
1993-11-16,31.50,31.50,30.85,31.28,57100,21.73
1993-11-15,32.14,32.14,30.85,30.85,55300,21.44
1993-11-12,31.28,32.14,31.28,32.14,9900,22.33
1993-11-11,31.50,31.93,31.28,31.50,30500,21.88
1993-11-10,30.00,31.71,29.78,31.50,60600,21.88
1993-11-09,29.57,30.00,29.14,29.57,34100,20.54
1993-11-08,28.71,29.35,28.71,29.35,3800,20.39
1993-11-05,29.57,29.78,28.71,29.14,52100,20.25
1993-11-04,31.28,31.28,30.00,30.10,49300,20.91
1993-11-03,31.71,31.71,30.85,30.85,26000,21.44
1993-11-02,31.71,31.71,31.28,31.71,5800,22.03
1993-11-01,31.71,31.71,31.28,31.39,10100,21.81
1993-10-29,31.07,31.71,31.07,31.71,3400,22.03
1993-10-28,31.71,31.71,31.07,31.71,5900,22.03
1993-10-27,31.07,31.71,31.07,31.39,38600,21.81
1993-10-26,31.93,31.93,31.07,31.07,11400,21.58
1993-10-25,29.14,31.71,29.14,31.39,180200,21.81
1993-10-22,28.50,28.93,28.50,28.71,10100,19.95
1993-10-21,28.71,29.35,28.71,28.71,19800,19.95
1993-10-20,29.57,29.57,28.93,28.93,8500,20.10
1993-10-19,28.93,29.57,28.93,29.57,8100,20.54
1993-10-18,28.93,29.57,28.93,28.93,17300,20.10
1993-10-15,29.57,29.57,28.93,28.93,13600,20.10
1993-10-14,29.57,29.57,29.14,29.35,19900,20.39
1993-10-13,29.35,29.57,28.93,29.57,43600,20.54
1993-10-12,28.93,29.57,28.93,29.35,4900,20.39
1993-10-11,29.57,29.57,28.93,29.14,5400,20.25
1993-10-08,29.35,29.57,28.93,29.57,32700,20.54
1993-10-07,28.93,29.57,28.93,28.93,27200,20.10
1993-10-06,28.93,29.57,28.93,28.93,9300,20.10
1993-10-05,29.14,29.68,29.14,29.14,21000,20.25
1993-10-04,29.14,29.78,29.14,29.78,17600,20.69
1993-10-01,29.14,29.78,29.14,29.14,18500,20.25
1993-09-30,30.21,30.21,29.35,29.35,15200,20.39
